case number,Timestamp,"What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
TEL-75909-16,1/31/2021 21:41:15,1,0,-1,-1,1,0,1,1,1,1,1,[],0,0.5
TEL-76023-16-IN,1/31/2021 21:41:36,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-76039-16,1/31/2021 21:41:59,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-76077-16,1/31/2021 21:42:21,1,1,1,-1,-1,1,1,1,0,1,1,[],0,0.5
TEL-76211-16,1/31/2021 21:42:42,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-76211-16-RV,1/31/2021 21:43:00,0,0,0,0,0,0,0,1,0,1,1,"['L1', 'L2']",0,0.0
TNL-20646-19,1/4/2021 23:52:56,1,1,1,0,-1,1,0,1,0,1,0,[],0,0.0
TNL-20654-19,1/5/2021 0:11:08,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-21134-19,1/5/2021 0:29:37,0,0,0,0,0,0,0,0,0,1,0,['N8'],0,0.0
TNL-21151-19,1/5/2021 0:55:59,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-21271-19,1/5/2021 1:12:40,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-76413-17,1/31/2021 21:43:24,1,1,1,0,-1,0,0,1,0,1,1,[],0,0.0
TEL-76447-17-RV,1/31/2021 21:43:46,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-76492-17,1/31/2021 21:44:06,0,0,1,0,-1,0,0,1,0,1,0,[],0,0.0
TEL-76716-17,1/31/2021 21:44:30,0,0,-1,1,0,0,1,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-76751-17,1/31/2021 21:44:50,0,0,0,0,0,0,0,1,0,1,1,[],0,0.0
TEL-76924-17,1/31/2021 21:45:11,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-76933-17,1/31/2021 21:45:38,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.0
TEL-77096-17-RV,1/31/2021 21:46:05,0,0,-1,1,0,1,0,0,1,1,0,[],0,0.0
TEL-77147-17,1/31/2021 21:46:25,0,0,1,0,-1,1,0,0,0,1,1,[],0,0.0
TEL-77229-17,1/31/2021 21:46:44,0,0,1,0,-1,1,0,0,0,1,1,[],0,0.0
TEL-77442-17; TET-77790-17,1/31/2021 21:47:07,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'T5', 'T6']",0,0.0
TEL-77480-17,1/31/2021 21:47:30,0,1,1,0,-1,1,0,1,1,1,1,[],0,0.0
TEL-77505-17-RV; TEL-77505-17,1/31/2021 21:47:50,0,0,0,0,0,0,0,0,0,1,1,['L1'],0,0.0
TEL-77731-17,1/31/2021 21:48:13,0,0,1,0,-1,1,0,0,0,1,1,[],0,0.5
TNL-21455-19,1/7/2021 17:10:58,0,0,1,0,1,0,0,0,0,1,1,[],0,0.0
TNL-21497-19,1/7/2021 17:24:17,0,1,1,0,-1,1,0,1,0,1,0,[],0,1.0
TNL-21535-19,1/7/2021 17:43:54,1,1,-1,1,0,1,0,1,0,1,0,[],0,1.0
TNL-21766-19,1/7/2021 18:57:43,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
 TNL-21917-19,1/7/2021 19:21:57,0,1,-1,1,0,1,0,0,0,1,0,[],0,0.5
 TNL-22067-19,1/7/2021 19:56:57,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-22453-19,1/7/2021 20:54:57,0,0,-1,-1,0,0,0,1,0,1,0,[],0,0.0
TNL-22476-19,1/7/2021 22:21:20,0,0,1,0,-1,1,0,1,0,1,0,[],0,1.0
 TNL-22495-19,1/7/2021 22:36:25,0,0,0,0,0,0,0,0,0,1,0,[],0,1.0
 TNL-22838-19,1/7/2021 23:19:23,0,1,1,0,-1,1,0,0,0,1,0,[],0,0.0
 TNL-22974-19,1/7/2021 23:30:34,0,0,1,0,1,0,0,1,0,1,0,[],0,0.0
TNL-22578-19,1/7/2021 23:45:20,1,1,1,1,1,0,0,1,0,1,0,[],0,1.0
TNL-20730-19,1/8/2021 11:26:34,0,1,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-20735-19,1/8/2021 11:45:05,1,1,-1,1,0,0,1,1,0,1,1,[],0,0.5
TNL-20997-19,1/8/2021 11:57:21,0,1,1,0,-1,0,0,1,0,1,0,"['L1', 'L2']",0,1.0
TNL-04675-18,1/8/2021 18:06:11,0,1,-1,1,0,1,0,1,0,0,0,[],0,1.0
TEL-78110-17,1/31/2021 21:48:41,0,0,0,0,0,1,0,0,0,1,1,[],0,0.5
TEL-78426-17,1/31/2021 21:49:01,1,1,1,0,1,1,1,1,0,1,1,"['L1', 'L2']",0,0.0
TNL-04707-18,1/8/2021 18:14:48,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TNL-04777-18,1/8/2021 18:23:03,1,0,-1,-1,0,0,1,1,0,0,0,[],0,1.0
TNL-04780-18,1/8/2021 18:29:45,1,0,-1,-1,0,1,1,0,0,0,0,[],0,1.0
TNL-04887-18,1/8/2021 18:46:13,1,0,0,0,0,1,0,0,0,0,0,[],0,0.0
TNL-04964-18,1/8/2021 18:56:39,1,1,-1,1,0,0,0,1,1,0,0,[],0,0.0
TNL-05217-18,1/8/2021 19:15:57,0,0,0,0,0,0,0,0,0,0,0,"['L1', 'L2']",0,0.0
TEL-78434-17-RV,1/31/2021 21:49:24,1,1,1,0,-1,0,0,1,1,1,1,[],0,0.0
TNL-05257-18,1/8/2021 19:23:37,1,0,0,0,0,1,0,1,0,0,1,[],0,0.0
TEL-78805-17,1/31/2021 21:49:45,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-78933-17,1/31/2021 21:50:05,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TNL-21180-19,1/11/2021 10:35:22,0,0,1,0,-1,1,0,0,0,1,0,[],0,0.5
TNL-21272-19,1/11/2021 10:57:58,0,0,1,0,1,0,0,1,0,1,0,[],0,0.0
TNL-21276-19,1/11/2021 11:09:14,0,0,1,0,-1,1,0,1,0,1,0,[],0,1.0
TNL-05317-18,1/13/2021 23:50:20,1,0,1,-1,-1,1,0,1,0,1,0,[],0,0.5
TNL-05465-18,1/13/2021 23:58:14,0,0,1,0,-1,0,0,0,0,1,0,[],0,0.5
TEL-91777-18,1/14/2021 19:37:09,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-91777-18-AM,1/14/2021 19:45:43,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-91895-18,1/14/2021 19:53:31,0,0,1,0,-1,0,0,0,0,1,0,[],0,0.5
TNL-05489-18,1/14/2021 23:13:41,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-05535-18,1/14/2021 23:20:32,1,0,0,0,0,0,0,1,1,1,0,[],0,0.0
TNL-05628-18,1/14/2021 23:30:16,0,0,-1,1,0,0,0,0,0,1,0,[],0,0.0
TNL-05681-18,1/14/2021 23:38:13,1,1,0,0,0,1,0,1,0,1,0,[],0,1.0
TNL-05697-18,1/14/2021 23:50:25,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-05797-18,1/15/2021 23:00:37,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-05902-18,1/15/2021 23:08:04,0,1,-1,1,0,1,0,0,1,1,0,[],0,0.0
TNL-05962-18,1/15/2021 23:14:01,1,0,1,0,-1,1,0,1,1,1,0,[],0,1.0
TNL-05991-18,1/15/2021 23:18:47,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-05995-18,1/15/2021 23:26:20,0,0,0,0,0,1,0,0,0,1,0,[],0,0.0
TNL-06020-18,1/15/2021 23:35:23,0,1,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-06025-18; TNL-06026-18,1/15/2021 23:39:34,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-06053-18,1/15/2021 23:43:59,0,0,0,0,0,1,0,0,0,1,0,[],1,0.0
TNL-06180-18,1/15/2021 23:47:49,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-06188-18,1/15/2021 23:52:47,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-06380-18,1/20/2021 22:57:05,0,1,0,1,0,0,0,1,0,1,0,[],0,0.5
TNL-06460-18,1/20/2021 23:05:03,0,1,-1,-1,0,0,1,0,0,1,0,[],0,0.5
TNL-06467-18,1/20/2021 23:08:29,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-06558-18,1/20/2021 23:16:45,1,1,0,1,0,0,0,0,1,1,0,[],0,0.0
TNL-06600-18,1/20/2021 23:24:05,1,1,-1,1,0,0,0,0,0,1,0,[],0,0.0
TNL-07115-18,1/20/2021 23:27:56,0,0,0,0,0,0,0,0,0,1,0,['N5'],0,0.0
TNL-07118-18,1/20/2021 23:33:25,0,0,-1,-1,0,0,0,1,0,1,0,[],0,0.5
TNL-07532-18,1/20/2021 23:39:18,0,0,0,0,0,0,0,0,0,1,0,['N8'],0,0.0
TNL-07557-18,1/20/2021 23:43:28,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-07682-18,1/20/2021 23:50:36,0,1,0,0,0,1,0,1,0,1,0,[],0,0.0
TSL-95225-18,1/22/2021 22:43:10,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-95431-18-RV,1/22/2021 22:55:36,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-95548-18,1/22/2021 23:14:31,0,0,0,0,0,0,0,0,0,1,0,"['L2', 'N5']",0,0.0
TSL-95601-18,1/22/2021 23:25:38,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
CEL-83383-19,1/24/2021 20:42:21,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N8']",0,0.0
CEL-82854-19,1/24/2021 21:13:57,0,1,0,0,0,0,0,1,0,1,0,[],0,0.0
CEL-80413-18,1/24/2021 21:42:04,0,0,0,0,0,0,0,1,0,1,0,"['L1', 'L2']",0,0.0
CEL-80181-18,1/24/2021 21:49:48,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TSL-12580-19,1/24/2021 22:01:16,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TNL-07861-18,1/28/2021 17:58:01,0,0,1,0,1,0,0,1,0,1,0,[],0,0.5
TNL-07941-18,1/28/2021 18:10:07,1,0,1,0,1,1,0,1,1,1,0,[],0,0.5
TNL-07984-18,1/28/2021 18:26:37,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-08396-18,1/28/2021 18:33:24,0,0,0,0,0,1,0,0,0,1,0,[],0,0.5
TNL-08496-18,1/28/2021 18:40:13,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-08533-18,1/28/2021 18:47:18,1,0,0,0,0,1,0,1,0,1,0,[],1,1.0
TNL-08539-18,1/28/2021 18:51:25,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-08580-18,1/28/2021 19:07:23,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-08631-18-AM,1/28/2021 19:22:26,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-88533-18,1/28/2021 21:17:56,1,0,1,0,0,1,1,1,0,1,1,"['L1', 'L2']",0,0.5
TNL-08731-18,1/28/2021 22:03:23,1,0,0,0,0,1,0,1,1,1,0,[],0,1.0
TNL-08784-18,1/28/2021 22:09:30,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-09097-18,1/28/2021 22:14:30,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-09111-18,1/28/2021 22:20:04,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TNL-09432-18,1/28/2021 22:26:37,0,1,1,0,-1,1,1,1,0,1,0,[],0,1.0
TNL-09828-18,1/28/2021 22:31:01,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-12433-19,1/29/2021 19:39:21,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TNL-23256-20,1/29/2021 20:27:17,0,1,0,0,0,0,0,1,0,1,1,[],0,0.5
TSL-07388-19,1/29/2021 20:49:37,0,0,0,0,0,0,0,0,0,1,0,['T6'],0,0.0
TNL-21346-19,1/29/2021 21:23:40,0,0,1,-1,1,0,0,1,0,1,0,[],0,0.5
TNL-21363-19,1/29/2021 21:36:28,0,0,1,0,-1,1,0,1,0,1,0,[],0,0.5
TNL-21473-19,1/29/2021 21:56:29,0,0,1,0,1,0,1,0,0,1,0,[],0,0.5
TNL-21505-19,1/29/2021 22:12:42,0,1,-1,1,0,0,0,1,1,1,0,[],1,0.5
TNL-21820-19,1/30/2021 0:31:39,1,1,0,0,0,0,0,0,0,1,0,['N5'],0,0.0
TNL-22459-19,1/30/2021 0:42:23,1,0,1,0,-1,1,0,1,0,1,0,[],0,0.5
TSL-08283-19-RV,1/30/2021 0:55:56,0,0,0,0,0,0,0,1,0,1,0,['L1'],0,0.0
TSL-10696-19,1/30/2021 1:14:33,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-10697-19,1/30/2021 1:13:51,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-11933-19,1/30/2021 1:26:32,0,0,-1,1,0,1,1,1,0,1,0,"['L1', 'L2']",0,0.0
TSL-12392-19,1/30/2021 1:38:48,0,0,0,0,0,0,0,0,0,1,0,"['L2', 'L9', 'N5', 'N7', 'N8']",0,0.0
CEL-83044-19,1/30/2021 13:10:52,0,0,1,0,1,0,0,1,0,1,1,['L1'],0,0.5
CEL-83008-19,1/30/2021 13:33:00,1,0,0,0,0,0,0,1,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TSL-13225-20,1/30/2021 13:51:19,0,0,1,0,-1,0,0,0,0,1,0,[],0,0.5
CEL-81147-18,1/30/2021 14:19:28,0,0,0,0,0,0,0,0,0,1,0,['L1'],1,0.0
CEL-78863-18,1/30/2021 14:44:51,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N6', 'N7', 'N8']",1,0.0
CEL-82129-19,1/30/2021 15:07:10,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
CEL-80220-18,1/30/2021 15:34:10,0,1,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'T2', 'N5']",0,0.0
TSL-95605-18,1/30/2021 16:06:05,0,0,0,0,0,0,0,0,0,1,0,['L1'],0,0.0
TSL-95667-18,1/30/2021 16:15:53,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TSL-95674-18,1/30/2021 16:24:51,0,0,0,0,0,0,0,1,0,1,1,[],1,0.5
TSL-95717-18,1/30/2021 18:53:02,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-95811-18,1/30/2021 18:59:36,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TSL-95864-18,1/30/2021 19:23:07,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-95874-18,1/30/2021 19:34:42,1,1,1,-1,-1,1,0,0,0,0,0,[],0,0.0
TSL-96198-18-RV,1/30/2021 19:45:56,1,0,1,0,-1,0,0,0,1,1,0,[],0,0.0
TSL-96267-18,1/30/2021 19:57:35,0,1,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-96905-18,1/30/2021 21:36:21,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TSL-97247-18-RV,1/30/2021 21:43:49,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-97498-18-RV2-AM,1/30/2021 21:50:00,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-97576-18,1/30/2021 21:59:39,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.5
TSL-97632-18,1/30/2021 22:12:33,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N7']",1,0.0
TSL-98005-18,1/30/2021 22:23:55,1,0,0,0,0,0,0,0,0,1,0,['L9'],0,0.0
TSL-98020-18-RV,1/30/2021 22:32:45,1,0,0,0,0,0,0,1,0,1,0,[],0,0.0
TSL-98059-18,1/30/2021 22:46:03,0,0,1,0,1,0,1,1,0,1,0,[],0,0.5
TEL-88767-18,1/30/2021 22:51:41,0,1,0,0,0,0,0,0,0,1,1,[],0,0.0
TSL-98173-18,1/30/2021 22:54:00,0,0,1,0,-1,0,1,1,1,1,0,[],0,0.5
TEL-88799-18,1/30/2021 22:55:52,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TSL-98384-18-AM,1/30/2021 22:57:51,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-88801-18,1/30/2021 23:07:35,0,0,-1,0,1,1,1,0,0,1,1,[],1,0.5
TSL-03695-19,1/30/2021 23:23:11,1,0,-1,1,0,0,1,1,1,1,0,['L1'],0,0.0
TSL-98445-18,1/30/2021 23:34:27,1,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TSL-03751-19,1/30/2021 23:41:22,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
TSL-98604-18,1/30/2021 23:45:21,0,1,0,0,0,0,0,1,0,1,0,[],0,0.0
TSL-03762-19,1/31/2021 16:15:25,0,0,-1,-1,0,0,1,1,0,1,1,[],0,0.0
TSL-03769-19,1/31/2021 16:26:20,0,0,1,0,1,0,0,0,0,1,0,['L1'],0,0.5
TSL-03778-19,1/31/2021 16:45:34,0,0,0,0,0,1,0,0,0,0,0,[],0,1.0
TSL-04078-19,1/31/2021 17:19:36,0,0,0,-1,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TSL-04079-19,1/31/2021 17:44:50,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-04253-19,1/31/2021 18:00:48,0,0,0,0,0,0,0,1,0,1,0,"['T2', 'N8']",1,0.0
TEL-78938-17,1/31/2021 21:50:24,0,0,0,0,0,0,0,1,0,1,1,[],0,0.0
TEL-79260-17,1/31/2021 21:50:43,0,0,0,0,0,0,0,0,0,1,1,['L1'],0,0.0
TEL-79283-17,1/31/2021 18:39:15,0,1,1,0,-1,0,0,0,0,1,1,"['L1', 'L2']",0,0.5
TEL-79447-17-RV,1/31/2021 18:57:24,0,1,0,0,0,0,0,0,0,1,1,[],0,0.0
TSL-04253-19-RV,1/31/2021 19:23:01,0,0,0,0,0,0,0,0,0,0,0,"['L2', 'T2']",0,0.0
TEL-79519-17; TET-79366-17,1/31/2021 19:30:19,1,1,-1,1,0,0,0,0,1,1,1,"['L1', 'L2', 'T2']",0,0.0
TEL-79563-17,1/31/2021 19:40:17,0,1,1,0,-1,1,0,0,0,1,1,[],0,0.5
TSL-04311-19,1/31/2021 19:54:14,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N8']",0,0.0
 TEL-79722-17,1/31/2021 19:55:04,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-79946-17-RV,1/31/2021 20:02:11,0,0,0,0,0,1,0,1,0,1,1,[],0,1.0
TSL-04444-19,1/31/2021 20:03:36,0,0,1,0,-1,0,0,0,0,1,0,"['L1', 'L3']",1,0.0
TSL-04979-19,1/31/2021 20:12:26,0,0,0,0,-1,0,0,0,0,1,0,"['N5', 'N8']",0,1.0
TEL-80073-17,1/31/2021 20:14:03,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'T2']",0,0.0
TSL-05638-19,1/31/2021 20:21:13,1,0,-1,1,0,1,0,0,1,1,0,[],0,0.0
TEL-80084-17,1/31/2021 20:23:55,0,1,1,1,0,1,0,1,1,1,1,[],0,0.5
TEL-80169-17,1/31/2021 20:32:41,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-80248-17,1/31/2021 20:37:20,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-80320-17,1/31/2021 20:41:48,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-80483-17-RV,1/31/2021 20:57:25,0,0,0,0,0,0,0,0,0,1,1,[],1,0.0
TSL-05944-19,1/31/2021 20:57:38,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N8']",0,0.0
TEL-80715-17,1/31/2021 21:04:49,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
 TEL-80773-17,1/31/2021 21:08:55,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TSL-98711-18,1/31/2021 21:11:23,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-81094-17,1/31/2021 21:16:17,0,0,0,0,0,0,0,1,0,1,1,"['L1', 'L2']",0,0.0
TSL-98713-18,1/31/2021 21:19:09,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
 TEL-81359-17-AM,1/31/2021 21:21:33,0,1,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,1.0
TSL-98714-18,1/31/2021 21:25:29,1,1,-1,-1,0,0,0,0,0,0,0,[],0,0.5
TEL-81400-17,1/31/2021 21:27:42,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
 TEL-81405-17,1/31/2021 21:32:22,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TSL-06394-19,1/31/2021 21:32:45,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N8']",0,0.0
TSL-98754-18,1/31/2021 21:32:48,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TSL-98756-18,1/31/2021 21:36:21,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-06770-19,1/31/2021 21:41:15,1,0,1,1,-1,0,0,0,1,1,1,[],0,0.5
TSL-98918-18-RV,1/31/2021 21:44:45,0,0,1,0,1,0,0,0,0,1,0,"['L1', 'L2']",1,0.0
TSL-06833-19,1/31/2021 21:48:58,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N6']",0,0.0
TSL-99691-18,1/31/2021 21:50:10,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N8']",0,0.0
TSL-99824-18,1/31/2021 21:54:47,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TSL-99900-18,1/31/2021 22:08:50,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TSL-99965-18,1/31/2021 22:15:34,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TSL-06955-19-RV,1/31/2021 22:21:26,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,1.0
CEL-62600-16,1/31/2021 22:26:19,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N6']",0,0.0
TSL-07120-19,1/31/2021 22:33:07,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5', 'N7', 'N8']",0,0.0
CEL-62852-16,1/31/2021 22:35:03,0,1,1,1,1,0,0,1,1,1,0,[],0,1.0
CEL-63056-16,1/31/2021 22:41:31,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
CEL-63024-16,1/31/2021 22:46:35,0,0,1,0,-1,0,0,1,0,1,0,[],0,1.0
CEL-63193-16,1/31/2021 22:54:07,1,0,1,0,-1,0,0,1,0,1,0,['L1'],1,0.0
CEL-63559-17,1/31/2021 22:59:59,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N8']",0,0.5
CEL-63931-17,1/31/2021 23:11:03,1,0,-1,1,0,0,0,0,1,1,0,"['L1', 'L2', 'N5']",0,0.0
CEL-63965-17-RV,1/31/2021 23:17:02,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
CEL-64051-17,1/31/2021 23:23:06,0,1,1,0,-1,0,1,0,0,1,0,"['L1', 'L2', 'L8']",0,0.0
TSL-07620-19,2/1/2021 0:55:49,1,0,0,0,0,0,0,0,0,1,1,"['L1', 'T2', 'T6']",0,0.0
File number: TSL-07666-19-RV,2/1/2021 1:21:42,0,0,1,0,-1,1,0,0,0,1,1,"['L1', 'L2', 'N8']",0,0.0
TSL-08760-19,2/1/2021 1:33:43,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-08918-19,2/1/2021 2:31:15,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TSL-10061-19,2/1/2021 2:51:28,0,0,1,0,-1,0,0,0,0,1,0,"['L2', 'N5', 'N8']",0,0.0
TSL-10720-19,2/1/2021 3:01:44,0,0,0,1,0,0,0,1,1,1,1,[],1,0.0
TSL-93207-18-RV; TST-94747-18; TSL-00082-18,2/1/2021 17:28:33,1,0,1,0,-1,1,0,1,1,1,1,['L1'],0,0.0
TSL-95225-18-RV,2/1/2021 18:43:42,0,0,1,0,-1,0,0,0,0,1,1,[],0,0.5
TSL-95896-18-RV,2/1/2021 19:10:49,1,0,0,0,0,0,0,1,0,1,1,['L1'],0,0.0
TSL-97152-18-RV,2/1/2021 19:33:39,0,1,0,0,0,0,0,0,0,1,1,['L1'],0,0.0
TSL-97697-18,2/1/2021 20:00:27,0,0,0,0,0,0,0,1,0,1,0,"['L1', 'L2', 'N8']",0,0.0
TSL-98395-18,2/1/2021 21:27:53,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'T6']",0,1.0
TSL-98879-18,2/1/2021 21:42:31,0,0,1,0,-1,1,1,0,0,1,1,"['L1', 'L2']",0,0.0
 TSL-99380-18-RV,2/1/2021 21:55:55,1,0,0,-1,0,0,0,0,0,1,0,[],0,0.0
TST-06337-19-IN,2/1/2021 22:10:10,0,0,0,0,0,0,0,0,0,1,0,['N5'],0,0.0
CEL-71370-17,2/1/2021 22:20:33,0,1,0,0,0,0,0,0,1,1,1,[],0,0.0
CEL-71536-17,2/1/2021 23:36:33,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
CEL-72199-17,2/1/2021 23:48:07,0,1,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'L9', 'N7']",0,0.0
CEL-72209-17; CET-73173-18,2/2/2021 0:08:38,1,1,0,0,0,0,0,0,1,1,0,"['T2', 'T3', 'T6']",0,0.0
CEL-72857-18,2/2/2021 0:30:57,0,1,0,0,0,0,0,1,0,1,1,"['L1', 'L2', 'N5', 'N8']",0,1.0
CEL-72859-18,2/2/2021 0:38:38,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
CEL-72919-18,2/2/2021 0:47:04,0,0,1,0,-1,0,0,0,0,1,1,"['L2', 'L8', 'L9']",0,0.0
